统一策略ID,策略代码,策略名称,渠道,投顾机构,原披露风险等级,测算风险等级,风险基础分类,权益风险档,波动风险档,回撤风险档,风险触发指标,风险测算缺失项,权益基金权重,债券基金权重,货币基金权重,混合基金权重,指数基金权重,QDII权重,波动率,最大回撤,主可比池,业务主分类,业务组合分类,业务分类标签,市场地域,数据完整性,基础数据等级,运作状态,最新业绩日期,收益数据截至,是否广发相关,是否天天策略,天天当前对客展示,天天对客展示标记,天天展示状态,天天展示分层,天天展示判定依据
ttfund__FT9Q97V,FT9Q97V,华安零钱快乐攒,天天基金/投顾,华安基金-华安投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,8.72,80.31,4.79,0,12.99,2.92,1.604,2.0971,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__NHTF6B3,NHTF6B3,华安闲钱聪明投,天天基金/投顾,华安基金-华安投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,14.46,78.02,0.98,4.75,0,0,3.2048,4.0917,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__CZNWYHU,CZNWYHU,华安小盈加02期,天天基金/投顾,华安基金-华安投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.7986,80.3807,0.4696,5.2073,0,0,2.6116,2.4903,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__WUPU2MY,WUPU2MY,华安小盈加03期,天天基金/投顾,华安基金-华安投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.7936,80.3724,0.4703,5.2152,0,0,2.6091,1.7521,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__L6CID3M,L6CID3M,华安小盈加04期,天天基金/投顾,华安基金-华安投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.7986,80.3807,0.4696,5.2073,0,0,2.3882,1.745,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__0KPN0CG,0KPN0CG,华安小盈加05期,天天基金/投顾,华安基金-华安投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.7986,80.3807,0.4696,5.2073,0,0,2.4515,1.7855,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__S7FMQ8X,S7FMQ8X,华安小盈加06期,天天基金/投顾,华安基金-华安投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.7936,80.3724,0.4703,5.2152,0,0,2.5009,1.8798,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__BZQITFT,BZQITFT,华安小盈加07期,天天基金/投顾,华安基金-华安投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.7986,80.3807,0.4696,5.2073,0,0,2.5087,1.7903,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__JG1WMK1,JG1WMK1,华安小盈加08期,天天基金/投顾,华安基金-华安投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.7986,80.3807,0.4696,5.2073,0,0,2.5767,2.7089,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__XCS0IJK,XCS0IJK,华宝五花肉,天天基金/投顾,华宝智选投顾,中风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,15.4595,64.7844,2.3578,17.3983,2.601,2.601,3.4329,5.9476,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__7IBLFIC,7IBLFIC,华泰柏瑞低波动小幸福,天天基金/投顾,华泰柏瑞睿智投,中低风险,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,7.7441,49.8471,4.831,37.5778,10.0795,0,3.0107,3.1844,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__RPIRIAF,RPIRIAF,华泰柏瑞全天候,天天基金/投顾,华泰柏瑞睿智投,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,14.7069,76.2559,3.4313,0,54.1338,35.2082,1.9877,2.3025,海外/全球型,海外/全球型,R2 稳健收益｜海外/全球型,海外/全球｜主动被动混合｜海外全球｜主动+指数混合、QDII/海外工具、FOF工具,海外/全球,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__UB2HHW7,UB2HHW7,华泰柏瑞小幸福66第1期投顾服务,天天基金/投顾,华泰柏瑞睿智投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,11.1557,68.7524,3.7502,16.3416,11.2699,0,2.5651,2.8013,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__WZOCEIK,WZOCEIK,华泰柏瑞小幸运第1期投顾服务,天天基金/投顾,华泰柏瑞睿智投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,15.9673,46.8905,4.4537,32.6885,9.8388,7.221,3.3045,2.3334,多资产配置型,多资产配置型,R2 稳健收益｜多资产配置型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__JLBE1GB,JLBE1GB,华泰柏瑞小幸运第2期投顾服务,天天基金/投顾,华泰柏瑞睿智投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,10.8967,70.263,0.9324,17.9079,15.3321,0,2.8605,2.5289,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__VF3Y7R5,VF3Y7R5,华泰柏瑞小优势（目标盈）组合策略,天天基金/投顾,华泰柏瑞睿智投,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,12.8324,76.0463,2.8261,8.2952,14.389,7.2496,1.8083,1.2422,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__NAJX9TR,NAJX9TR,华夏稳盈低波多资产策略,天天基金/投顾,华夏投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R1 低波,权益,,9.2136,85.4374,3.4299,0,11.1327,0.9964,1.4409,1.3037,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__K35RDR8,K35RDR8,华夏心想计划,天天基金/投顾,华夏投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,13.9475,69.3056,7.4028,9.3441,3.3878,17.8065,2.6373,3.8256,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内+海外｜主动为主｜主动基金组合、QDII/海外工具,国内+海外,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__AILVXKB,AILVXKB,嘉实百灵全天候,天天基金/投顾,嘉实财富-嘉实投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,11.74,82.02,3.01,0,46.13,0,2.9158,2.151,主题/行业型,主题/行业型,R2 稳健收益｜主题/行业型,国内｜主动被动混合｜主题行业、商品黄金｜主动+指数混合,国内,完整,A,已终止,2026-06-03,2026-06-03,否,是,否,否,非对客展示/已终止或数据缺失,非对客展示/已终止或数据缺失,存在测试/终止/隐藏等非当前对客信号
ttfund__5ZEBTMB,5ZEBTMB,嘉实百灵全天候策略,天天基金/投顾,嘉实财富-嘉实投顾,中低风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,11.63,82.14,3.02,0,46.05,0,2.5911,2.1438,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动被动混合｜主动+指数混合,国内,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__JJYDADT,JJYDADT,嘉实财富固收优选,天天基金/投顾,嘉实财富-嘉实投顾,中低风险,R2 稳健收益,R2 稳健收益,R0 现金/超低波,R1 低波,R2 稳健收益,回撤,,0,99.01,0.99,0,13.03,0,1.9548,3.2493,纯债/短债型,纯债/短债型,R2 稳健收益｜纯债/短债型,国内｜主动为主｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__NBKRTDY,NBKRTDY,嘉实财富固收Plus,天天基金/投顾,嘉实财富-嘉实投顾,中低风险,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,3.95,77.25,2,16.8,9.94,0,2.422,4.8755,主题/行业型,主题/行业型,R2 稳健收益｜主题/行业型,国内｜主动为主｜主题行业｜主动基金组合,国内,完整,A,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__NLEZCJG,NLEZCJG,嘉实小福气组合,天天基金/投顾,嘉实财富-嘉实投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,3.9481,77.2731,1.9927,16.7862,9.9367,0,2.557,3.0552,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内｜主动为主｜主动基金组合,国内,完整,B,未披露,2026-06-03,2026-06-03,否,是,否,否,非对客展示/未披露,非对客展示/未披露,运作状态=未披露；本报告不将其视作对客展示
ttfund__SBGVYSH,SBGVYSH,嘉实小雀幸目标盈第1期,天天基金/投顾,嘉实财富-嘉实投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R1 低波,波动,,7.0057,71.0523,1.8694,20.0726,4.9143,0,2.1011,2.6023,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__SCYDSBL,SCYDSBL,嘉实小雀幸目标盈第2期,天天基金/投顾,嘉实财富-嘉实投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,7.0057,71.0523,1.8694,20.0726,4.9143,0,2.3037,3.7195,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__6D2EKJA,6D2EKJA,嘉实小雀幸目标盈第3期,天天基金/投顾,嘉实财富-嘉实投顾,未披露,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,R2 稳健收益,波动+回撤,,7.0057,71.0523,1.8694,20.0726,4.9143,0,2.3547,4.2609,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__4DUEQSK,4DUEQSK,坚若磐石,天天基金/投顾,华宝智选投顾,中风险,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,R2 稳健收益,权益+回撤,,10.4602,72.3637,0.9115,16.2646,10.4602,16.6123,1.8074,3.1581,固收增强型,固收增强型,R2 稳健收益｜固收增强型,国内+海外｜主动为主｜主动基金组合、QDII/海外工具、FOF工具,国内+海外,完整,A,开放窗口,2026-06-03,2026-06-03,否,是,是,是,当前对客展示,当前对客展示,运作状态=开放窗口，且有官方业绩字段
ttfund__NBDU0P1,NBDU0P1,建信小幸运目标盈10期,天天基金/投顾,建信基金-建信投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,14.0316,78.9223,1.8243,5.2217,23.3053,4.8198,2.3683,1.9111,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__5E8Z5TJ,5E8Z5TJ,建信小幸运目标盈7期,天天基金/投顾,建信基金-建信投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,权益+波动+回撤,,9.8527,84.088,2.0001,4.0593,26.9071,0,3.0791,3.8369,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
ttfund__SSX0DTW,SSX0DTW,建信小幸运目标盈9期,天天基金/投顾,建信基金-建信投顾,未披露,R2 稳健收益,R2 稳健收益,R2 稳健收益,R2 稳健收益,R1 低波,权益+波动,,14.4953,68.5762,1.8518,15.0767,30.7988,0,2.5437,2.6112,目标盈系列产品,目标盈系列产品,R2 稳健收益｜目标盈系列产品,国内｜主动为主｜目标盈/止盈｜主动基金组合,国内,完整,B,原始状态2,2026-06-03,2026-06-03,否,是,否,历史期次,历史期次-曾上架运作,历史期次-曾上架运作,运作状态=原始状态2；识别为期次型/目标收益产品，属于曾经上架运作但当前非开放窗口的产品
